emil moreau,emil,moreau,male,linkedin.com/in/emil-moreau-1020,emil-moreau-1020,100158380,,,,government administration,branch chief,automotive technician,['entry'],fiserv,fiserv,,1001-5000,,government administration,,,,,,,,,,,,,2023-04,"temple, texas, united states",temple,,texas,united states,north america,,,3994.0,"85,000-100,000",16.0,Branch Chief at Fiserv. 20 years across government administration.,[],[],"['hiking', 'cycling', 'photography']","['international logistics', 'customer relations', 'team management', 'project management', 'higher education', 'blogging', 'negotiation', 'sales', 'executive protection', 'arabic', 'payroll', 'supervisory skills', 'security', 'forklift operation', 'facebook', 'gas', 'statistics', 'avionics', 'social media', 'dod', 'security operations', 'marketing strategy', 'editing', 'test equipment', 'account reconciliation', 'network administration', 'banking', 'yahoo', 'aed']","['temple, texas, united states']",['texas'],['united states'],[],"[{'company': {'name': 'fiserv', 'size': '1-10', 'industry': 'primary/secondary education', 'location': {'name': 'falls church, virginia, united states'}}, 'location_names': ['temple, texas, united states'], 'end_date': None, 'start_date': '2021-06', 'title': {'name': 'branch chief', 'role': 'legal', 'sub_role': None, 'levels': ['director']}, 'is_primary': True, 'summary': None}, {'company': {'name': 'new york sports and joints', 'size': '51-200', 'industry': 'consumer electronics', 'location': {'name': 'nederland, texas, united states'}}, 'location_names': ['temple, texas, united states'], 'end_date': '2021-01', 'start_date': '2018-04', 'title': {'name': 'hospital & health care', 'role': 'assistant director international programs', 'sub_role': None, 'levels': ['cxo']}, 'is_primary': False, 'summary': None}, {'company': {'name': 'csra inc', 'size': '201-500', 'industry': 'legislative office', 'location': {'name': 'alexandria, virginia, united states'}}, 'location_names': ['temple, texas, united states'], 'end_date': '2018-08', 'start_date': '2015-07', 'title': {'name': 'military', 'role': 'operations', 'sub_role': None, 'levels': []}, 'is_primary': False, 'summary': None}, {'company': {'name': 'prudential financial', 'size': '51-200', 'industry': 'government administration', 'location': {'name': 'el cajon, california, united states'}}, 'location_names': ['temple, texas, united states'], 'end_date': '2015-01', 'start_date': '2012-01', 'title': {'name': 'chief executive officer and president', 'role': 'media', 'sub_role': None, 'levels': ['partner']}, 'is_primary': False, 'summary': None}]","[{'school': {'name': 'defense information school', 'type': 'post-secondary institution', 'location': {'name': 'springfield, tennessee, united states'}}, 'end_date': '1999', 'start_date': '2004', 'gpa': None, 'degrees': ['doctorates'], 'majors': ['political science'], 'minors': [], 'summary': None}, {'school': {'name': 'devry university', 'type': 'post-secondary institution', 'location': {'name': 'mineola, new york, united states'}}, 'end_date': '1993', 'start_date': '2011', 'gpa': None, 'degrees': ['associates', 'masters'], 'majors': ['computer science'], 'minors': [], 'summary': None}]","[{'network': 'linkedin', 'id': '100158380', 'url': 'linkedin.com/in/emil-moreau-1020', 'username': 'emil-moreau-1020'}]",[],"[{'name': 'english', 'proficiency': None}]","{'status': 'updated', 'contains': [], 'previous_version': '12.0', 'current_version': '13.0'}",,,,,,,,,,,,,,,,,,
yusuf strand,yusuf,strand,,linkedin.com/in/yusuf-strand-1021,yusuf-strand-1021,100166299,,,,luxury goods & jewelry,fire operations,city letter carrier and city carrier assistant,[],transformco,transformco,,51-200,,luxury goods & jewelry,,,,,,,,,,,,,2012-08,"springboro, ohio, united states",springboro,,ohio,united states,north america,,,3258.0,"45,000-55,000",7.0,Fire Operations at Transformco. 4 years across luxury goods & jewelry.,[],[],"['history', 'chess']","['homeland security', 'security+', 'criminal justice', 'social media marketing', 'continuous improvement', 'marketing', 'interagency coordination', 'c4isr', 'administration', 'transportation planning', 'computer security', 'army', 'computer repair', 'business process', 'human resources', 'intelligence analysis', 'copy editing', 'powerpoint']","['springboro, ohio, united states']",['ohio'],['united states'],[],"[{'company': {'name': 'transformco', 'size': '201-500', 'industry': 'farming', 'location': {'name': 'great falls, montana, united states'}}, 'location_names': ['springboro, ohio, united states'], 'end_date': None, 'start_date': '2021-05', 'title': {'name': 'fire operations', 'role': 'essential services broker', 'sub_role': None, 'levels': ['senior']}, 'is_primary': True, 'summary': None}]","[{'school': {'name': 'eastern kentucky university', 'type': 'post-secondary institution', 'location': {'name': 'united states'}}, 'end_date': '2007', 'start_date': '1986', 'gpa': None, 'degrees': ['masters'], 'majors': ['psychology'], 'minors': [], 'summary': None}, {'school': {'name': 'caldwell high school', 'type': 'post-secondary institution', 'location': {'name': 'sanford, north carolina, united states'}}, 'end_date': '2008', 'start_date': '2006', 'gpa': None, 'degrees': ['associates'], 'majors': ['computer science'], 'minors': [], 'summary': None}]","[{'network': 'linkedin', 'id': '100166299', 'url': 'linkedin.com/in/yusuf-strand-1021', 'username': 'yusuf-strand-1021'}]",[],"[{'name': 'english', 'proficiency': None}]","{'status': 'updated', 'contains': [], 'previous_version': '12.0', 'current_version': '13.0'}",,,,,,,,,,,,,,,,,,
leila nakamura,leila,nakamura,male,linkedin.com/in/leila-nakamura-1022,leila-nakamura-1022,100174218,,,,libraries,humanitarian operations advisor,retail sales associate,[],north-side-hospital-and-heart-institute,north side hospital and heart institute,,201-500,,libraries,,,,,,,,,,,,,2019-01,"austin, texas, united states",austin,,texas,united states,north america,,,824.0,"55,000-70,000",4.0,Humanitarian Operations Advisor at North Side Hospital And Heart Institute. 4 years across libraries.,[],[],"['chess', 'photography', 'cycling']","['continuous improvement', 'uav', 'banking', 'humint', 'broadcast journalism', 'english', 'powerpoint', 'operations management']","['austin, texas, united states']",['texas'],['united states'],[],"[{'company': {'name': 'north side hospital and heart institute', 'size': '11-50', 'industry': 'commercial real estate', 'location': {'name': 'nashville, tennessee, united states'}}, 'location_names': ['austin, texas, united states'], 'end_date': None, 'start_date': '2021-06', 'title': {'name': 'humanitarian operations advisor', 'role': 'city letter carrier and city carrier assistant', 'sub_role': None, 'levels': ['senior']}, 'is_primary': True, 'summary': None}]","[{'school': {'name': 'anne arundel community college', 'type': 'post-secondary institution', 'location': {'name': 'surprise, arizona, united states'}}, 'end_date': '2011', 'start_date': '2011', 'gpa': None, 'degrees': ['associates', 'masters'], 'majors': ['political science', 'engineering'], 'minors': [], 'summary': None}, {'school': {'name': 'coastline community college', 'type': 'post-secondary institution', 'location': {'name': 'washington, district of columbia, united states'}}, 'end_date': '1991', 'start_date': '1990', 'gpa': None, 'degrees': ['associates'], 'majors': ['political science'], 'minors': [], 'summary': None}]","[{'network': 'linkedin', 'id': '100174218', 'url': 'linkedin.com/in/leila-nakamura-1022', 'username': 'leila-nakamura-1022'}]",[],"[{'name': 'english', 'proficiency': None}]","{'status': 'updated', 'contains': [], 'previous_version': '12.0', 'current_version': '13.0'}",,,,,,,,,,,,,,,,,,
ravi mwangi,ravi,mwangi,male,linkedin.com/in/ravi-mwangi-1023,ravi-mwangi-1023,100182137,,,,human resources,manufacturing engineer,project manager,[],machine-operator,machine operator,,11-50,,human resources,,,,,,,,,,,,,2012-09,"churubusco, indiana, united states",churubusco,,indiana,united states,north america,,,287.0,"100,000-150,000",3.0,Manufacturing Engineer at Machine Operator. 15 years across human resources.,[],[],"['chess', 'history', 'travel', 'hiking']","['administration', 'patient safety', 'crisis intervention', 'design', 'sap', 'diplomacy', 'account reconciliation', 'systems engineering', 'combat', 'higher education', 'completion', 'scheduling', 'account management', 'tactics', 'html', 'strategic communications', 'risk assessment', 'information security', 'defense', 'analysis', 'employee relations', 'critical thinking', 'commissioning']","['churubusco, indiana, united states']",['indiana'],['united states'],[],"[{'company': {'name': 'machine operator', 'size': '11-50', 'industry': 'military', 'location': {'name': 'sugar land, texas, united states'}}, 'location_names': ['churubusco, indiana, united states'], 'end_date': None, 'start_date': '2021-06', 'title': {'name': 'manufacturing engineer', 'role': 'resident agent in charge', 'sub_role': None, 'levels': ['director']}, 'is_primary': True, 'summary': None}, {'company': {'name': 'p&g security', 'size': '1001-5000', 'industry': 'design', 'location': {'name': 'houston, texas, united states'}}, 'location_names': ['churubusco, indiana, united states'], 'end_date': '2021-03', 'start_date': '2018-03', 'title': {'name': 'associate sales representative-spine', 'role': 'assistant director international programs', 'sub_role': None, 'levels': []}, 'is_primary': False, 'summary': None}]","[{'school': {'name': 'anne arundel community college', 'type': 'post-secondary institution', 'location': {'name': 'fredericksburg, virginia, united states'}}, 'end_date': '1997', 'start_date': '2005', 'gpa': None, 'degrees': ['bachelor of science', 'masters'], 'majors': ['business administration'], 'minors': [], 'summary': None}]","[{'network': 'linkedin', 'id': '100182137', 'url': 'linkedin.com/in/ravi-mwangi-1023', 'username': 'ravi-mwangi-1023'}]",[],"[{'name': 'english', 'proficiency': None}]","{'status': 'updated', 'contains': [], 'previous_version': '12.0', 'current_version': '13.0'}",,,,,,,,,,,,,,,,,,
tomas mensah,tomas,mensah,female,linkedin.com/in/tomas-mensah-1024,tomas-mensah-1024,100190056,,,,health,senior technical writer,retail sales associate,['senior'],northrop-grumman-corporation,northrop grumman corporation,,51-200,,health,,,,,,,,,,,,,2015-01,"raleigh, north carolina, united states",raleigh,,north carolina,united states,north america,,,2169.0,"100,000-150,000",19.0,Senior Technical Writer at Northrop Grumman Corporation. 10 years across health.,[],[],['travel'],"['social media marketing', 'autocad', 'new business development', 'interagency coordination', 'army', 'acls', 'criminal investigations', 'blogging', 'cpr certified', 'weapons', 'police', 'yahoo', 'fundraising', 'nonprofits', 'government contracting', 'piping', 'telecommunications', 'css', 'intelligence analysis', 'courts', 'field service']","['raleigh, north carolina, united states']",['north carolina'],['united states'],[],"[{'company': {'name': 'northrop grumman corporation', 'size': '1001-5000', 'industry': 'legislative office', 'location': {'name': 'portland, oregon, united states'}}, 'location_names': ['raleigh, north carolina, united states'], 'end_date': None, 'start_date': '2021-08', 'title': {'name': 'senior technical writer', 'role': 'city letter carrier and city carrier assistant', 'sub_role': None, 'levels': []}, 'is_primary': True, 'summary': None}]","[{'school': {'name': 'abraham lincoln university', 'type': 'post-secondary institution', 'location': {'name': 'tempe, arizona, united states'}}, 'end_date': '2017', 'start_date': '2009', 'gpa': None, 'degrees': ['bachelors', 'associates'], 'majors': ['political science'], 'minors': [], 'summary': None}]","[{'network': 'linkedin', 'id': '100190056', 'url': 'linkedin.com/in/tomas-mensah-1024', 'username': 'tomas-mensah-1024'}]",[],"[{'name': 'english', 'proficiency': None}]","{'status': 'updated', 'contains': [], 'previous_version': '12.0', 'current_version': '13.0'}",,,,,,,,,,,,,,,,,,
tara nakamura,tara,nakamura,male,linkedin.com/in/tara-nakamura-1025,tara-nakamura-1025,100197975,,,,"health, wellness and fitness",global mobility consultant,retail sales associate,[],bentonville-public-schools,bentonville public schools,,11-50,,"health, wellness and fitness",,,,,,,,,,,,,2020-05,"south jacksonville, florida, united states",south jacksonville,,florida,united states,north america,,,1724.0,"45,000-55,000",25.0,"Global Mobility Consultant at Bentonville Public Schools. 3 years across health, wellness and fitness.",[],[],[],"['power generation', 'contingency planning', 'international development', 'marine corps', 'press releases', 'program management', 'team management', 'program evaluation', 'collaborative problem solving', 'data entry', 'salesforce.com', 'manufacturing', 'information technology', 'project estimation', 'bls', 'blogging', 'oil and gas industry', 'political science', 'airborne', 'journalism', 'criminal justice', 'intelligence']","['south jacksonville, florida, united states']",['florida'],['united states'],[],"[{'company': {'name': 'bentonville public schools', 'size': '51-200', 'industry': 'human resources', 'location': {'name': 'jarrell, texas, united states'}}, 'location_names': ['south jacksonville, florida, united states'], 'end_date': None, 'start_date': '2021-08', 'title': {'name': 'global mobility consultant', 'role': 'paramedic- medical officer and supervisor', 'sub_role': None, 'levels': []}, 'is_primary': True, 'summary': None}, {'company': {'name': 'triple canopy', 'size': '51-200', 'industry': 'defense & space', 'location': {'name': 'glenview, illinois, united states'}}, 'location_names': ['south jacksonville, florida, united states'], 'end_date': '2021-07', 'start_date': '2018-06', 'title': {'name': 'middle school mathematics teacher', 'role': 'network controller', 'sub_role': None, 'levels': []}, 'is_primary': False, 'summary': None}, {'company': {'name': 'law office of alexander diener', 'size': '201-500', 'industry': 'human_resources', 'location': {'name': 'farmingdale, new jersey, united states'}}, 'location_names': ['south jacksonville, florida, united states'], 'end_date': '2018-01', 'start_date': '2015-04', 'title': {'name': 'system administrator', 'role': 'resident agent in charge', 'sub_role': None, 'levels': ['cxo']}, 'is_primary': False, 'summary': None}]","[{'school': {'name': 'city university (bd)', 'type': 'post-secondary institution', 'location': {'name': 'saint maries, idaho, united states'}}, 'end_date': '2012', 'start_date': '2006', 'gpa': None, 'degrees': ['doctorates', 'master of business administration'], 'majors': ['nursing', 'business administration'], 'minors': [], 'summary': None}, {'school': {'name': 'college of the mainland', 'type': 'post-secondary institution', 'location': {'name': 'madison, wisconsin, united states'}}, 'end_date': '2005', 'start_date': '2006', 'gpa': None, 'degrees': ['bachelor of science'], 'majors': ['engineering'], 'minors': [], 'summary': None}]","[{'network': 'linkedin', 'id': '100197975', 'url': 'linkedin.com/in/tara-nakamura-1025', 'username': 'tara-nakamura-1025'}]",[],"[{'name': 'english', 'proficiency': None}]","{'status': 'updated', 'contains': [], 'previous_version': '12.0', 'current_version': '13.0'}",,,,,,,,,,,,,,,,,,
hugo ruiz,hugo,ruiz,,linkedin.com/in/hugo-ruiz-1026,hugo-ruiz-1026,100205894,,,,medical practice,hospital & health care,2020-12-01,[],united-states-department-of-defense,united states department of defense,,1001-5000,,medical practice,,,,,,,,,,,,,2020-07,"redding, california, united states",redding,,california,united states,north america,,,1668.0,"100,000-150,000",8.0,Hospital & Health Care at United States Department Of Defense. 3 years across medical practice.,[],[],"['cycling', 'history', 'music']","['business development', 'cad', 'homeland security', 'servers', 'military training', 'volunteer management', 'human resources', 'cost control', 'onshore', 'blogging', 'design', 'cold calling', 'contract management', 'business planning', 'windows']","['redding, california, united states']",['california'],['united states'],[],"[{'company': {'name': 'united states department of defense', 'size': '11-50', 'industry': 'food & beverages', 'location': {'name': 'el cajon, california, united states'}}, 'location_names': ['redding, california, united states'], 'end_date': None, 'start_date': '2021-02', 'title': {'name': 'hospital & health care', 'role': 'transportation operations manager', 'sub_role': None, 'levels': ['cxo']}, 'is_primary': True, 'summary': None}, {'company': {'name': 'metlife', 'size': '1001-5000', 'industry': 'internet', 'location': {'name': 'clinton township, michigan, united states'}}, 'location_names': ['redding, california, united states'], 'end_date': '2021-03', 'start_date': '2018-04', 'title': {'name': 'information technology specialist', 'role': 'resident agent in charge', 'sub_role': None, 'levels': []}, 'is_primary': False, 'summary': None}, {'company': {'name': 'blue arrow real estate', 'size': '11-50', 'industry': 'non-profit organization management', 'location': {'name': 'newport news, virginia, united states'}}, 'location_names': ['redding, california, united states'], 'end_date': '2018-09', 'start_date': '2015-07', 'title': {'name': 'chief of experimentation and wargaming- fires battle lab', 'role': 'retail sales associate', 'sub_role': None, 'levels': ['partner']}, 'is_primary': False, 'summary': None}, {'company': {'name': 'stillhouse sweeping', 'size': '1001-5000', 'industry': 'primary/secondary education', 'location': {'name': 'vienna, virginia, united states'}}, 'location_names': ['redding, california, united states'], 'end_date': '2015-09', 'start_date': '2012-03', 'title': {'name': 'program manager, project manager', 'role': 'research associate professor and adjunct professor of biology', 'sub_role': None, 'levels': ['director']}, 'is_primary': False, 'summary': None}]","[{'school': {'name': 'glastonbury high school', 'type': 'post-secondary institution', 'location': {'name': 'naperville, illinois, united states'}}, 'end_date': '2002', 'start_date': '1989', 'gpa': None, 'degrees': ['master of business administration', 'associates'], 'majors': ['nursing'], 'minors': [], 'summary': None}]","[{'network': 'linkedin', 'id': '100205894', 'url': 'linkedin.com/in/hugo-ruiz-1026', 'username': 'hugo-ruiz-1026'}]",[],"[{'name': 'english', 'proficiency': None}]","{'status': 'updated', 'contains': [], 'previous_version': '12.0', 'current_version': '13.0'}",,,,,,,,,,,,,,,,,,
mira ruiz,mira,ruiz,male,linkedin.com/in/mira-ruiz-1027,mira-ruiz-1027,100213813,,,,design,chief executive officer,engineering,['cxo'],gal-power-systems,gal power systems,,51-200,,design,,,,,,,,,,,,,2014-06,"anchorage, alaska, united states",anchorage,,alaska,united states,north america,,,3666.0,"70,000-85,000",2.0,Chief Executive Officer at Gal Power Systems. 13 years across design.,[],[],[],"['video', 'team management', 'adult education', 'problem solving', 'counterterrorism', 'surveillance', 'help desk support', 'public speaking', 'foreign policy', 'marine corps', 'quality assurance', 'data analysis', 'training', 'network security', 'computer security', 'media relations', 'security']","['anchorage, alaska, united states']",['alaska'],['united states'],[],"[{'company': {'name': 'gal power systems', 'size': '1-10', 'industry': 'health, wellness and fitness', 'location': {'name': 'south jacksonville, florida, united states'}}, 'location_names': ['anchorage, alaska, united states'], 'end_date': None, 'start_date': '2021-04', 'title': {'name': 'chief executive officer', 'role': 'network controller', 'sub_role': None, 'levels': ['cxo']}, 'is_primary': True, 'summary': None}, {'company': {'name': 'battlespace inc', 'size': '51-200', 'industry': 'business development', 'location': {'name': 'el cajon, california, united states'}}, 'location_names': ['anchorage, alaska, united states'], 'end_date': '2021-04', 'start_date': '2018-06', 'title': {'name': 'marketing and advertising', 'role': 'sales', 'sub_role': None, 'levels': ['senior']}, 'is_primary': False, 'summary': None}]","[{'school': {'name': 'caldwell high school', 'type': 'post-secondary institution', 'location': {'name': 'seattle, washington, united states'}}, 'end_date': '2001', 'start_date': '1990', 'gpa': None, 'degrees': ['masters', 'bachelors'], 'majors': ['nursing', 'engineering'], 'minors': [], 'summary': None}, {'school': {'name': 'kenya armed forces technical college', 'type': 'post-secondary institution', 'location': {'name': 'le foeil, bretagne, france'}}, 'end_date': '1991', 'start_date': '1995', 'gpa': None, 'degrees': ['bachelor of science'], 'majors': ['psychology', 'nursing'], 'minors': [], 'summary': None}]","[{'network': 'linkedin', 'id': '100213813', 'url': 'linkedin.com/in/mira-ruiz-1027', 'username': 'mira-ruiz-1027'}]",[],"[{'name': 'english', 'proficiency': None}]","{'status': 'updated', 'contains': [], 'previous_version': '12.0', 'current_version': '13.0'}",,,,,,,,,,,,,,,,,,
kian pereira,kian,pereira,female,linkedin.com/in/kian-pereira-1028,kian-pereira-1028,100221732,,,,consumer electronics,legislative analyst office of the assistant secretary for legislation,mdp operations workcenter manager,['entry'],stafford-g-conley-jr-dds-pc,stafford g conley jr dds pc,,201-500,,consumer electronics,,,,,,,,,,,,,2019-07,"burlington, vermont, united states",burlington,,vermont,united states,north america,,,734.0,"55,000-70,000",8.0,Legislative Analyst Office Of The Assistant Secretary For Legislation at Stafford G Conley Jr Dds Pc. 12 years across consumer electronics.,[],[],"['hiking', 'cycling', 'travel']","['active directory', 'technical writing', 'operating systems', 'military logistics', 'upstream', 'community outreach', 'offshore drilling', 'publicity', 'intelligence analysis', 'administration', 'oilfield', 'completion', 'aerospace', 'counterterrorism', 'project engineering', 'program development', 'press releases', 'telecommunications', 'start ups', 'contractors', 'systems engineering', 'freight', 'critical thinking', 'force protection']","['burlington, vermont, united states']",['vermont'],['united states'],[],"[{'company': {'name': 'stafford g conley jr dds pc', 'size': '1-10', 'industry': 'non-profit organization management', 'location': {'name': 'springfield, virginia, united states'}}, 'location_names': ['burlington, vermont, united states'], 'end_date': None, 'start_date': '2021-08', 'title': {'name': 'legislative analyst office of the assistant secretary for legislation', 'role': 'vp; relationship manager, specialized cash management', 'sub_role': None, 'levels': []}, 'is_primary': True, 'summary': None}, {'company': {'name': 'tista science and technology corporation', 'size': '11-50', 'industry': 'hospital & health care', 'location': {'name': 'lorton, virginia, united states'}}, 'location_names': ['burlington, vermont, united states'], 'end_date': '2021-04', 'start_date': '2018-01', 'title': {'name': 'assistant professor of practice', 'role': 'education', 'sub_role': None, 'levels': []}, 'is_primary': False, 'summary': None}, {'company': {'name': 'tennessee valley authority', 'size': '1001-5000', 'industry': 'legislative office', 'location': {'name': 'elizabeth city, north carolina, united states'}}, 'location_names': ['burlington, vermont, united states'], 'end_date': '2018-04', 'start_date': '2015-04', 'title': {'name': 'hardware specialist 1', 'role': 'business owner', 'sub_role': None, 'levels': []}, 'is_primary': False, 'summary': None}, {'company': {'name': 'esp, llc', 'size': '1-10', 'industry': 'leisure, travel & tourism', 'location': {'name': 'rochester, new york, united states'}}, 'location_names': ['burlington, vermont, united states'], 'end_date': '2015-05', 'start_date': '2012-07', 'title': {'name': 'regional manager', 'role': 'education', 'sub_role': None, 'levels': ['vp']}, 'is_primary': False, 'summary': None}]","[{'school': {'name': 'columbia southern university', 'type': 'post-secondary institution', 'location': {'name': 'sanford, north carolina, united states'}}, 'end_date': '1997', 'start_date': '1994', 'gpa': None, 'degrees': ['master of business administration'], 'majors': ['psychology', 'computer science'], 'minors': [], 'summary': None}]","[{'network': 'linkedin', 'id': '100221732', 'url': 'linkedin.com/in/kian-pereira-1028', 'username': 'kian-pereira-1028'}]",[],"[{'name': 'english', 'proficiency': None}]","{'status': 'updated', 'contains': [], 'previous_version': '12.0', 'current_version': '13.0'}",,,,,,,,,,,,,,,,,,
dario bergman,dario,bergman,male,linkedin.com/in/dario-bergman-1029,dario-bergman-1029,100229651,,,,farming,military flight instructor,media,[],hubbard,hubbard,,1001-5000,,farming,,,,,,,,,,,,,2018-03,"hondo, texas, united states",hondo,,texas,united states,north america,,,450.0,"45,000-55,000",3.0,Military Flight Instructor at Hubbard. 11 years across farming.,[],[],"['hiking', 'music']","['human resources', 'telecommunications', 'volunteer management', 'program management', 'freight', 'airborne', 'editorial', 'marketing', 'microsoft excel', 'iraq', 'contract management', 'css', 'network administration', 'government contracting', 'photoshop', 'copywriting', 'construction', 'dod', 'personnel management', 'security management', 'safety management systems', 'forklift operation', 'journalism', 'higher education', 'aircraft', 'windows server']","['hondo, texas, united states']",['texas'],['united states'],[],"[{'company': {'name': 'hubbard', 'size': '1-10', 'industry': 'human_resources', 'location': {'name': 'chief investment officer at ohio school employees retirement system'}}, 'location_names': ['hondo, texas, united states'], 'end_date': None, 'start_date': '2021-05', 'title': {'name': 'military flight instructor', 'role': 'vp; relationship manager, specialized cash management', 'sub_role': None, 'levels': []}, 'is_primary': True, 'summary': None}]","[{'school': {'name': 'bay shore high school', 'type': 'post-secondary institution', 'location': {'name': 'quincy, massachusetts, united states'}}, 'end_date': '2008', 'start_date': '1987', 'gpa': None, 'degrees': ['masters', 'bachelors'], 'majors': ['business administration', 'nursing'], 'minors': [], 'summary': None}, {'school': {'name': 'columbia university', 'type': 'post-secondary institution', 'location': {'name': 'denton, texas, united states'}}, 'end_date': '1995', 'start_date': '2000', 'gpa': None, 'degrees': ['bachelor of science'], 'majors': ['engineering', 'business administration'], 'minors': [], 'summary': None}]","[{'network': 'linkedin', 'id': '100229651', 'url': 'linkedin.com/in/dario-bergman-1029', 'username': 'dario-bergman-1029'}]",[],"[{'name': 'english', 'proficiency': None}]","{'status': 'updated', 'contains': [], 'previous_version': '12.0', 'current_version': '13.0'}",,,,,,,,,,,,,,,,,,
dario ferrara,dario,ferrara,female,linkedin.com/in/dario-ferrara-1030,dario-ferrara-1030,100237570,,,,mechanical or industrial engineering,legislative analyst office of the assistant secretary for legislation,resident agent in charge,['entry'],tgs,tgs,,11-50,,mechanical or industrial engineering,,,,,,,,,,,,,2016-01,"colorado springs, colorado, united states",colorado springs,,colorado,united states,north america,,,285.0,"55,000-70,000",10.0,Legislative Analyst Office Of The Assistant Secretary For Legislation at Tgs. 2 years across mechanical or industrial engineering.,[],[],['music'],"['electronics', 'oilfield', 'testing', 'excel', 'automation', 'network administration', 'cctv', 'breaking news', 'occupational health', 'quality assurance', 'start ups', 'financial reporting', 'navy', 'onboarding', 'coordination', 'cross functional team leadership', 'readiness', 'purchasing', 'drilling', 'conflict resolution', 'powerpoint', 'magazines', 'diplomacy', 'business process improvement', 'team building', 'sharepoint', 'windows 7', 'continuous improvement', 'multimedia']","['colorado springs, colorado, united states']",['colorado'],['united states'],[],"[{'company': {'name': 'tgs', 'size': '1001-5000', 'industry': 'electrical/electronic manufacturing', 'location': {'name': 'great falls, montana, united states'}}, 'location_names': ['colorado springs, colorado, united states'], 'end_date': None, 'start_date': '2021-03', 'title': {'name': 'legislative analyst office of the assistant secretary for legislation', 'role': 'research associate professor and adjunct professor of biology', 'sub_role': None, 'levels': []}, 'is_primary': True, 'summary': None}, {'company': {'name': 'cnn', 'size': '1-10', 'industry': 'government relations', 'location': {'name': 'elizabeth city, north carolina, united states'}}, 'location_names': ['colorado springs, colorado, united states'], 'end_date': '2021-08', 'start_date': '2018-04', 'title': {'name': 'lieutenant junior grade', 'role': 'mdp operations workcenter manager', 'sub_role': None, 'levels': []}, 'is_primary': False, 'summary': None}, {'company': {'name': 'mit lincoln laboratory', 'size': '1-10', 'industry': 'defense & space', 'location': {'name': 'tooele, utah, united states'}}, 'location_names': ['colorado springs, colorado, united states'], 'end_date': '2018-06', 'start_date': '2015-02', 'title': {'name': 'chief of experimentation and wargaming- fires battle lab', 'role': 'resident agent in charge', 'sub_role': None, 'levels': ['cxo']}, 'is_primary': False, 'summary': None}]","[{'school': {'name': 'air university (united states air force)', 'type': 'post-secondary institution', 'location': {'name': 'campbell, kentucky, united states'}}, 'end_date': '1994', 'start_date': '1989', 'gpa': None, 'degrees': ['masters'], 'majors': ['nursing', 'computer science'], 'minors': [], 'summary': None}, {'school': {'name': 'caesar rodney high school', 'type': 'post-secondary institution', 'location': {'name': 'washington, district of columbia, united states'}}, 'end_date': '2000', 'start_date': '2001', 'gpa': None, 'degrees': ['bachelors', 'masters'], 'majors': ['nursing'], 'minors': [], 'summary': None}]","[{'network': 'linkedin', 'id': '100237570', 'url': 'linkedin.com/in/dario-ferrara-1030', 'username': 'dario-ferrara-1030'}]",[],"[{'name': 'english', 'proficiency': None}]","{'status': 'updated', 'contains': [], 'previous_version': '12.0', 'current_version': '13.0'}",,,,,,,,,,,,,,,,,,
